node,region,province,municipality,latitude,longitude,att_name,vendor,period
MUSINESN0507X,NORTH_WEST,SINALOA,ESCUINAPA,22.7281,-105.619003,SINESN0507,Ericsson,last
MUSINESN0508X,NORTH_WEST,SINALOA,ESCUINAPA,22.575199,-105.593002,SINESN0508,Ericsson,last
MUSINESN0952X,NORTH_WEST,SINALOA,ESCUINAPA,22.826099,-105.774002,SINESN0952,Ericsson,last
MUSINFRT0510X,NORTH_WEST,SINALOA,EL_FUERTE,26.3305,-108.888001,SINFRT0510,Ericsson,last
MUSINFRT0511X,NORTH_WEST,SINALOA,EL_FUERTE,26.073601,-108.766998,SINFRT0511,Ericsson,last
MUSINGVE0935X,NORTH_WEST,SINALOA,GUASAVE,25.4946,-108.302002,SINGVE0935,Ericsson,last
MUSINHOM0535X,NORTH_WEST,SINALOA,AHOME,26.1591,-109.058998,SINHOM0535,Ericsson,last
MUSINHOM0541X,NORTH_WEST,SINALOA,AHOME,25.9098,-109.161003,SINHOM0541,Ericsson,last
MUSINHOM0542X,NORTH_WEST,SINALOA,AHOME,25.9683,-109.307999,SINHOM0542,Ericsson,last
MUSINHOM0557X,NORTH_WEST,SINALOA,AHOME,26.003401,-109.010002,SINHOM0557,Ericsson,last
MUSINMAZ0562X,NORTH_WEST,SINALOA,MAZATLAN,23.304399,-106.407997,SINMAZ0562,Ericsson,last
MUSINMAZ0563X,NORTH_WEST,SINALOA,MAZATLAN,23.1208,-106.300003,SINMAZ0563,Ericsson,last
MUSINMAZ0564X,NORTH_WEST,SINALOA,MAZATLAN,23.2388,-106.445999,SINMAZ0564,Ericsson,last
MUSINMAZ0565X,NORTH_WEST,SINALOA,MAZATLAN,23.2157,-106.403,SINMAZ0565,Ericsson,last
MUSINMAZ0566X,NORTH_WEST,SINALOA,MAZATLAN,23.242599,-106.422997,SINMAZ0566,Ericsson,initial
MUSINMAZ0567X,NORTH_WEST,SINALOA,MAZATLAN,23.251301,-106.455002,SINMAZ0567,Ericsson,last
MUSINMAZ0568X,NORTH_WEST,SINALOA,MAZATLAN,23.243,-106.410004,SINMAZ0568,Ericsson,last
